iter	RMSE
0	11007.80243
1	10794.40271
2	10589.47337
3	10401.44818
4	10223.5799
5	10057.19743
6	9929.743002
7	9783.259974
8	9649.879374
9	9518.847069
10	9395.807032
11	9282.417448
12	9188.562963
13	9085.190215
14	8987.002255
15	8904.244208
16	8818.624211
17	8718.91353
18	8648.479197
19	8560.674818
20	8492.593585
21	8430.54273
22	8362.836319
23	8306.688252
24	8248.864959
25	8207.118433
26	8146.984892
27	8098.04277
28	8085.770008
29	8043.58943
30	8008.413688
31	7976.788482
32	7922.189728
33	7883.241174
34	7864.203609
35	7843.927808
36	7813.515388
37	7785.388571
38	7753.257576
39	7718.518586
40	7695.387455
41	7651.100431
42	7616.253047
43	7575.064333
44	7555.676977
45	7523.01785
46	7503.97916
47	7475.628251
48	7447.985343
49	7406.921572
50	7375.874141
51	7358.864208
52	7327.838011
53	7303.563853
54	7295.841172
55	7272.495351
56	7246.771843
57	7230.849777
58	7223.184036
59	7211.529748
60	7198.319287
61	7181.641963
62	7166.504741
63	7154.015421
64	7142.032932
65	7135.386694
66	7124.24512
67	7117.064261
68	7095.383314
69	7089.297699
70	7062.227154
71	7054.39439
72	7047.679409
73	7026.699133
74	7016.699858
75	7004.371122
76	6996.64774
77	6992.18565
78	6961.555959
79	6934.863684
80	6929.500728
81	6925.008695
82	6920.68576
83	6918.941662
84	6916.411345
85	6890.030471
86	6861.175328
87	6842.374842
88	6838.445019
89	6816.373642
90	6811.924428
91	6808.550615
92	6801.136862
93	6782.980663
94	6778.737521
95	6760.624776
96	6754.495746
97	6732.204052
98	6725.265185
99	6715.161123
100	6713.5275
101	6706.246467
102	6698.414044
103	6680.617889
104	6658.427632
105	6641.085502
106	6622.486786
107	6616.736432
108	6613.514751
109	6601.234634
110	6597.403282
111	6594.033898
112	6591.843741
113	6586.09543
114	6580.673475
115	6564.423423
116	6559.998015
117	6553.792874
118	6550.311889
119	6543.089991
120	6536.782242
121	6532.361607
122	6516.017449
123	6500.2414
124	6492.27198
125	6484.287918
126	6480.823663
127	6465.230653
128	6460.240498
129	6458.851942
130	6457.869853
131	6455.445177
132	6448.556001
133	6445.399375
134	6442.941296
135	6426.958281
136	6424.282935
137	6421.817619
138	6414.245664
139	6411.126625
140	6403.470831
141	6387.468913
142	6380.457435
143	6364.320438
144	6362.247526
145	6357.59821
146	6353.479385
147	6343.804518
148	6338.701173
149	6335.446037
150	6326.748464
151	6310.955052
152	6297.113341
153	6292.311032
154	6277.819648
155	6268.075671
156	6265.90783
157	6259.597711
158	6254.90359
159	6252.202576
160	6248.066277
161	6234.890947
162	6230.737162
163	6228.353339
164	6228.178856
165	6211.311326
166	6197.757097
167	6194.789242
168	6191.629936
169	6188.740076
170	6188.538407
171	6181.635534
172	6173.256574
173	6169.866935
174	6169.052351
175	6161.65381
176	6158.092417
177	6144.572029
178	6137.141807
179	6126.917024
180	6123.606693
181	6121.277921
182	6117.547109
183	6116.526521
184	6104.356551
185	6092.441694
186	6089.876496
187	6087.178807
188	6084.152107
189	6080.309353
190	6077.690334
191	6066.111061
192	6062.707371
193	6060.355003
194	6057.9942
195	6050.815906
196	6049.05197
197	6046.889367
198	6044.782767
199	6033.438292
200	6022.393286
201	6011.541498
202	6009.521233
203	6002.41444
204	5995.146771
205	5988.108561
206	5981.402623
207	5974.899622
208	5964.170135
209	5953.656009
210	5950.924955
211	5939.173957
212	5936.130833
213	5933.871942
214	5927.41339
215	5924.804997
216	5921.03428
217	5914.702764
218	5908.297684
219	5898.194892
220	5891.468537
221	5885.463787
222	5879.704962
223	5873.897373
224	5863.946934
225	5858.40323
226	5851.110529
227	5841.380912
228	5835.929507
229	5830.43389
230	5825.20352
231	5823.272562
232	5813.750889
233	5804.423547
234	5793.810133
235	5788.656324
236	5783.648811
237	5778.754536
238	5772.529061
239	5766.470559
240	5757.492342
241	5749.668771
242	5745.142905
243	5740.740397
244	5731.905944
245	5727.557503
246	5718.919617
247	5714.698089
248	5709.249569
249	5700.716388
250	5692.339509
251	5688.083779
252	5683.698373
253	5679.822107
254	5675.855663
255	5672.121568
256	5668.48874
257	5660.83455
258	5657.283375
259	5652.333235
260	5648.775326
261	5644.161726
262	5641.779338
263	5638.525914
264	5635.328403
265	5632.215817
266	5627.182848
267	5624.847366
268	5618.80298
269	5615.725598
270	5613.436513
271	5610.354968
272	5608.117254
273	5606.171299
274	5603.297812
275	5601.13424
276	5598.177552
277	5595.685119
278	5592.786645
279	5590.096508
280	5581.8129
281	5579.177787
282	5576.459455
283	5573.803955
284	5571.726208
285	5569.695395
286	5567.889547
287	5561.158966
288	5559.202104
289	5556.600565
290	5554.059106
291	5545.910207
292	5539.622482
293	5531.633445
294	5523.813175
295	5521.315788
296	5519.3721
297	5516.940055
298	5509.274433
299	5500.32729
300	5497.934883
301	5496.386668
302	5494.529592
303	5492.699505
304	5490.359641
305	5482.999735
306	5480.710669
307	5473.503856
308	5471.721954
309	5469.481355
310	5467.73925
311	5465.549369
312	5463.845567
313	5462.179964
314	5460.038702
315	5452.966287
316	5451.334702
317	5449.239087
318	5447.643226
319	5441.643635
320	5440.06093
321	5433.118396
322	5426.323698
323	5424.26292
324	5417.610154
325	5415.593895
326	5409.080276
327	5407.11013
328	5405.553026
329	5399.173896
330	5397.02242
331	5391.692616
332	5390.200041
333	5388.267359
334	5386.378709
335	5380.117417
336	5373.936181
337	5372.08612
338	5370.278214
339	5364.281102
340	5362.515781
341	5360.790281
342	5359.100817
343	5357.632066
344	5356.196399
345	5354.792903
346	5353.137692
347	5347.367548
348	5345.905248
349	5340.008276
350	5338.385552
351	5332.612938
352	5327.032384
353	5325.442642
354	5323.889121
355	5322.463506
356	5321.076971
357	5315.414738
358	5308.555401
359	5303.132039
360	5301.606962
361	5300.116604
362	5298.003768
363	5295.849536
364	5294.51395
365	5289.19684
366	5283.994212
367	5282.597532
368	5281.290525
369	5279.304177
370	5278.03309
371	5275.998211
372	5268.792813
373	5263.801505
374	5258.917892
375	5253.754778
376	5248.971759
377	5244.292072
378	5243.049221
379	5238.469321
380	5236.612228
381	5235.418578
382	5234.192285
383	5232.266711
384	5230.498389
385	5228.642878
386	5224.151832
387	5223.016259
388	5219.306777
389	5214.721265
390	5213.537877
391	5207.849482
392	5206.685506
393	5205.269906
394	5204.136789
395	5202.524546
396	5200.835793
397	5196.515654
398	5195.390029
399	5191.162661
400	5190.061391
401	5189.000053
402	5183.108095
403	5179.059338
404	5175.098547
405	5171.223861
406	5170.143478
407	5169.087338
408	5168.068759
409	5166.528682
410	5162.166745
411	5160.841593
412	5157.040207
413	5153.321539
414	5152.34353
415	5148.704973
416	5147.690614
417	5146.733832
418	5145.798841
419	5142.237156
420	5141.322638
421	5137.837821
422	5136.844129
423	5132.409412
424	5131.512375
425	5131.401191
426	5127.45066
427	5124.027265
428	5120.678566
429	5117.402974
430	5116.522155
431	5113.317359
432	5110.182657
433	5107.116498
